x_m,y_m,elevation_m,x_sim,y_sim,z_sim
6.972902203992707655e+02,1.197663385744206607e+03,3.354500579833984375e+01,1.394580440798541510e+01,2.395326771488413442e+01,6.709001159667968839e-01
7.275698691987199709e+02,1.197627293485216796e+03,3.258411026000976562e+01,1.455139738397440041e+01,2.395254586970433763e+01,6.516822052001953747e-01
5.458551874832483009e+02,1.167128464530920610e+03,2.386109924316406250e+01,1.091710374966496566e+01,2.334256929061841390e+01,4.772219848632812678e-01
5.761348703269613907e+02,1.167092225101310760e+03,2.546941947937011719e+01,1.152269740653922803e+01,2.334184450202621619e+01,5.093883895874024015e-01
6.064145523676997982e+02,1.167056015268899500e+03,2.902055358886718750e+01,1.212829104735399710e+01,2.334112030537799143e+01,5.804110717773437456e-01
6.366942336019710638e+02,1.167019835032988340e+03,3.446504211425781250e+01,1.273388467203942120e+01,2.334039670065976679e+01,6.893008422851563122e-01
6.669739140304736793e+02,1.166983684394275770e+03,3.746755981445312500e+01,1.333947828060947316e+01,2.333967368788551511e+01,7.493511962890625488e-01
6.972535936565836892e+02,1.166947563352528960e+03,4.020920181274414062e+01,1.394507187313167407e+01,2.333895126705057876e+01,8.041840362548828836e-01
7.275332724796608090e+02,1.166911471907515079e+03,4.180047988891601562e+01,1.455066544959321639e+01,2.333822943815030371e+01,8.360095977783202903e-01
7.578129505002289079e+02,1.166875410059466958e+03,4.312072372436523438e+01,1.515625901000457887e+01,2.333750820118934044e+01,8.624144744873046831e-01
7.880926277190446854e+02,1.166839377808617428e+03,4.085017013549804688e+01,1.576185255438089428e+01,2.333678755617235012e+01,8.170034027099609686e-01
8.183723041367484257e+02,1.166803375154500827e+03,2.707659912109375000e+01,1.636744608273496837e+01,2.333606750309001754e+01,5.415319824218750577e-01
8.486519797525834292e+02,1.166767402097349986e+03,2.234685516357421875e+01,1.697303959505167015e+01,2.333534804194700030e+01,4.469371032714843928e-01
8.789316545699839480e+02,1.166731458637164906e+03,2.133809852600097656e+01,1.757863309139968067e+01,2.333462917274329840e+01,4.267619705200195179e-01
4.852589833335950971e+02,1.136485204658936709e+03,2.562500572204589844e+01,9.705179666671902794e+00,2.272970409317873575e+01,5.125001144409180309e-01
5.155386978150345385e+02,1.136448906854260713e+03,2.791564750671386719e+01,1.031077395630069127e+01,2.272897813708521397e+01,5.583129501342773970e-01
5.458184114894247614e+02,1.136412638646084815e+03,2.880930137634277344e+01,1.091636822978849608e+01,2.272825277292169588e+01,5.761860275268554377e-01
5.760981243560672738e+02,1.136376400034176186e+03,2.838288879394531250e+01,1.152196248712134619e+01,2.272752800068352386e+01,5.676577758789063122e-01
6.063778364197351038e+02,1.136340191018301994e+03,2.841791152954101562e+01,1.212755672839470300e+01,2.272680382036604030e+01,5.683582305908203569e-01
6.366575476769357920e+02,1.136304011599160731e+03,3.602328872680664062e+01,1.273315095353871662e+01,2.272608023198321447e+01,7.204657745361328081e-01
6.669372581283096224e+02,1.136267861775821075e+03,3.698997879028320312e+01,1.333874516256619280e+01,2.272535723551642306e+01,7.397995758056640225e-01
6.972169677773490548e+02,1.136231741548981518e+03,4.102755737304687500e+01,1.394433935554698145e+01,2.272463483097963177e+01,8.205511474609374911e-01
7.274966766232391819e+02,1.136195650918642059e+03,4.227899551391601562e+01,1.454993353246478449e+01,2.272391301837284061e+01,8.455799102783203569e-01
7.577763846667367034e+02,1.136159589884337038e+03,4.403313064575195312e+01,1.515552769333473471e+01,2.272319179768674147e+01,8.806626129150391113e-01
7.880560919084236957e+02,1.136123558446299285e+03,4.506888198852539062e+01,1.576112183816847434e+01,2.272247116892598484e+01,9.013776397705077770e-01
8.183357983489986509e+02,1.136087556604295969e+03,3.646463012695312500e+01,1.636671596697997444e+01,2.272175113208592023e+01,7.292926025390624734e-01
8.486155039877048694e+02,1.136051584359025583e+03,3.015555191040039062e+01,1.697231007975409867e+01,2.272103168718051336e+01,6.031110382080078214e-01
8.788952088280348107e+02,1.136015641709556803e+03,2.534001350402832031e+01,1.757790417656069692e+01,2.272031283419113734e+01,5.068002700805663840e-01
9.091749128705705516e+02,1.135979728656820953e+03,2.994915962219238281e+01,1.818349825741141146e+01,2.271959457313641906e+01,5.989831924438476785e-01
9.394546161118196324e+02,1.135943845199886709e+03,3.483432769775390625e+01,1.878909232223639236e+01,2.271887690399773518e+01,6.966865539550781694e-01
9.697343185566714965e+02,1.135907991339452565e+03,3.282406234741210938e+01,1.939468637113343163e+01,2.271815982678905144e+01,6.564812469482421697e-01
1.000014020204311237e+03,1.135872167075285688e+03,2.746064376831054688e+01,2.000028040408622587e+01,2.271744334150571376e+01,5.492128753662109952e-01
1.030293721054040361e+03,1.135836372407153249e+03,1.937454986572265625e+01,2.060587442108080936e+01,2.271672744814306455e+01,3.874909973144531339e-01
4.246626567312050611e+02,1.105842060482827947e+03,2.070272827148437500e+01,8.493253134624101364e+00,2.211684120965655964e+01,4.140545654296874933e-01
4.549424028509529307e+02,1.105805704305879772e+03,2.666737556457519531e+01,9.098848057019058189e+00,2.211611408611759444e+01,5.333475112915039285e-01
4.852221481623128057e+02,1.105769377724733204e+03,3.028413772583007812e+01,9.704442963246256326e+00,2.211538755449466365e+01,6.056827545166015847e-01
5.155018926659831777e+02,1.105733080739155412e+03,3.396262359619140625e+01,1.031003785331966327e+01,2.211466161478310966e+01,6.792524719238280939e-01
5.457816363626043312e+02,1.105696813349146396e+03,3.518353652954101562e+01,1.091563272725208655e+01,2.211393626698292891e+01,7.036707305908203036e-01
5.760613792514195666e+02,1.105660575554938987e+03,3.685271072387695312e+01,1.152122758502839162e+01,2.211321151109877903e+01,7.370542144775390492e-01
6.063411213372601196e+02,1.105624367356300354e+03,3.100098228454589844e+01,1.212682242674520339e+01,2.211248734712600594e+01,6.200196456909179421e-01
6.366208626166917384e+02,1.105588188753230497e+03,3.411937713623046875e+01,1.273241725233383548e+01,2.211176377506460966e+01,6.823875427246094416e-01
6.669006030902964994e+02,1.105552039745729417e+03,3.701438903808593750e+01,1.333801206180593013e+01,2.211104079491459018e+01,7.402877807617187500e-01
6.971803427615086548e+02,1.105515920334029943e+03,4.160154342651367188e+01,1.394360685523017374e+01,2.211031840668059800e+01,8.320308685302734153e-01
7.274600816295715049e+02,1.105479830517899245e+03,4.495283126831054688e+01,1.454920163259142996e+01,2.210959661035798618e+01,8.990566253662110041e-01
7.577398196952417493e+02,1.105443770297337323e+03,4.339616012573242188e+01,1.515479639390483513e+01,2.210887540594674761e+01,8.679232025146484952e-01
7.880195569591596723e+02,1.105407739672344178e+03,3.916714477539062500e+01,1.576039113918319323e+01,2.210815479344688228e+01,7.833428955078125533e-01
8.182992934219073504e+02,1.105371738642919809e+03,3.949406814575195312e+01,1.636598586843814829e+01,2.210743477285839731e+01,7.898813629150390758e-01
8.485790290827862918e+02,1.105335767209064215e+03,4.005265426635742188e+01,1.697158058165572569e+01,2.210671534418128559e+01,8.010530853271484730e-01
8.788587639452307485e+02,1.105299825370777398e+03,3.446657943725585938e+01,1.757717527890461540e+01,2.210599650741554711e+01,6.893315887451172408e-01
9.091384980099392124e+02,1.105263913127826527e+03,3.288031768798828125e+01,1.818276996019878311e+01,2.210527826255653139e+01,6.576063537597656161e-01
9.394182312733610161e+02,1.105228030480910093e+03,3.472163772583007812e+01,1.878836462546722075e+01,2.210456060961820057e+01,6.944327545166015803e-01
9.696979637403273955e+02,1.105192177429329604e+03,3.348854064941406250e+01,1.939395927480654791e+01,2.210384354858659250e+01,6.697708129882812278e-01
9.999776954101398587e+02,1.105156353973550722e+03,2.645879364013671875e+01,1.999955390820279888e+01,2.210312707947101529e+01,5.291758728027343706e-01
1.030257426281983498e+03,1.105120560113107786e+03,1.829105186462402344e+01,2.060514852563967025e+01,2.210241120226215727e+01,3.658210372924804998e-01
1.060537156360805966e+03,1.105084795848233625e+03,7.703432083129882812e+00,2.121074312721611932e+01,2.210169591696467251e+01,1.540686416625976496e-01
1.090816885642998386e+03,1.105049061178928241e+03,4.942368984222412109e+00,2.181633771285996914e+01,2.210098122357856454e+01,9.884737968444824718e-02
3.943459854349493980e+02,1.075162617448950186e+03,3.259870147705078125e+01,7.886919708698988174e+00,2.150325234897900373e+01,6.519740295410156872e-01
4.246257623852579854e+02,1.075126232497859746e+03,2.672924995422363281e+01,8.492515247705160419e+00,2.150252464995719492e+01,5.345849990844726562e-01
4.549055385265382938e+02,1.075089877141173929e+03,2.855671310424804688e+01,9.098110770530766445e+00,2.150179754282347844e+01,5.711342620849609863e-01
4.851853138594306074e+02,1.075053551379824057e+03,3.354402160644531250e+01,9.703706277188612006e+00,2.150107102759648114e+01,6.708804321289062456e-01
5.154650883845752105e+02,1.075017255213344470e+03,3.404024887084960938e+01,1.030930176769150464e+01,2.150034510426689138e+01,6.808049774169921964e-01
5.457448621027288027e+02,1.074980988641502336e+03,3.651780319213867188e+01,1.091489724205457712e+01,2.149961977283004799e+01,7.303560638427734064e-01
5.760246350130182691e+02,1.074944751665228978e+03,4.263555526733398438e+01,1.152049270026036609e+01,2.149889503330458140e+01,8.527111053466797097e-01
6.063044071203912608e+02,1.074908544283360243e+03,3.963171005249023438e+01,1.212608814240782529e+01,2.149817088566720358e+01,7.926342010498047541e-01
