Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;64,215;64,215;0;0;576;1.001993;211.215278;0.000000;58,449;5,766;64,215;0;0;0;0;0;5.566549;11.009724;1.856422;64,343;121,660
1;0.05053116401601872;66;0;0.047108;64,215;64,215;0;0;576;1.001993;211.215278;0.047108;58,449;5,766;64,215;0;0;0;0.0007740921961606138;0.0007820618667409532;5.566549;11.746071;1.856422;64,343;121,660
2;0.1004860405842517;65;0;0.053476;64,215;64,215;0;0;576;1.001993;211.215278;0.102250;58,449;5,766;64,215;0;0;0;0.0007630024333532923;0.0007740073501529017;5.566549;11.746071;1.856422;64,343;121,660
3;0.1506521371323385;66;0;0.046382;64,215;64,215;0;0;576;1.001993;211.215278;0.150801;58,449;5,766;64,215;0;0;0;0.0007494546969617155;0.0007632066681344289;5.566549;11.746071;1.856422;64,343;121,660
4;0.2005506730531375;67;0;0.045890;64,215;64,215;0;0;576;1.001993;211.215278;0.198343;58,449;5,766;64,215;0;0;0;0.0007295503703141806;0.0007491090785489662;5.566549;11.746071;1.856422;64,343;121,660
5;0.2504522438255593;75;0;0.062842;64,215;64,215;0;0;845;1.001993;143.976331;0.262805;58,449;5,766;64,215;0;0;0;0.0005544032712263818;0.0007286205151832074;5.566549;11.746071;1.856422;64,343;121,660
6;0.3000511474157716;103;0;0.078481;64,215;64,215;0;0;845;1.001993;143.976331;0.343299;58,449;5,766;64,215;0;0;0;0.0004208838485934595;0.0005524457033097255;5.566549;11.746071;1.856422;64,343;121,660
7;0.3502302805047821;126;0;0.080097;64,215;64,215;0;0;1,014;1.001993;119.980276;0.424722;58,449;5,766;64,215;0;0;0;0.0003378415263330346;0.0004411836908403428;5.566549;11.746071;1.856422;64,343;121,660
8;0.4001023314797434;139;0;0.087890;64,215;64,215;0;0;1,350;1.001993;90.118519;0.513895;58,449;5,766;64,215;0;0;0;0.0003197204763573695;0.0003870807956751903;5.566549;11.746071;1.856422;64,343;121,660
9;0.4500075961381924;160;0;0.114083;64,215;64,215;0;0;1,680;1.001993;72.416667;0.629169;58,449;5,766;64,215;0;0;0;0.0002942045821682895;0.0003252196494687532;5.566549;11.746071;1.856422;64,343;121,660
10;0.5001383561975502;165;0;0.104745;64,215;64,215;0;0;1,792;1.001993;67.890625;0.736674;58,449;5,766;64,215;0;0;0;0.0002873438638089459;0.0003343529747225699;5.566549;11.746071;1.856422;64,343;121,660
11;0.5501870863192057;180;0;0.119048;64,215;64,215;0;0;2,023;1.001993;60.138408;0.857014;58,449;5,766;64,215;0;0;0;0.0002425598593839306;0.0003062643902040347;5.566549;11.746071;1.856422;64,343;121,660
12;0.600257031404542;178;0;0.120488;64,215;64,215;0;0;2,268;1.001993;53.641975;0.978731;58,449;5,766;64,215;0;0;0;0.0002531909196002214;0.0003301080487653984;5.566549;11.746071;1.856422;64,343;121,660
13;0.6501293566117914;147;0;0.096090;64,215;64,215;0;0;2,527;1.001993;48.144044;1.076015;58,449;5,766;64,215;0;0;0;0.0003103514831043055;0.0003807089767246922;5.566549;11.746071;1.856422;64,343;121,660
14;0.7002526200822137;135;0;0.083650;64,215;64,215;0;0;2,660;1.001993;45.736842;1.162752;58,449;5,766;64,215;0;0;0;0.0003483499889071896;0.0003991777760642736;5.566549;11.746071;1.856422;64,343;121,660
15;0.750329964395154;126;0;0.079066;64,215;64,215;0;0;2,800;1.001993;43.450000;1.243041;58,449;5,766;64,215;0;0;0;0.0003495210000107184;0.0004454011766674088;5.566549;11.746071;1.856422;64,343;121,660

# Part:  Number of output file with particles data.
# TimeStep [s]:  Physical time of simulation.
# Steps:  Number of calculation steps since the previous PART.
# DTsMin:  Number of times the Dt is updated with the minimum allowed value (can be 2 times per step when Symplectic is used).
# PartRuntime [s]:  Runtime of last PART simulation.
# NpSave:  Number of selected particles to save.
# NpSim:  Number of particles used in simulation (normal + periodic particles).
# NpNew:  Number of new fluid particles created by inlet conditions since the previous PART.
# NpOut:  Number of excluded fluid particles since the previous PART.
# NctSim:  Number of cells used in simulation for particle search.
# NpAlloc [X]:  Over-allocation memory for particles NpAlloc/NpSim.
# NctAlloc [X]:  Over-allocation memory for cells NctAlloc/NctSim.
# SimRuntime [s]:  Total runtime of simulation (initialisation tasks not included).
# NpbSim:  Number of fixed and moving particles (includes periodic particles).
# NpfSim:  Number of fluid and floating particles (includes periodic particles).
# NpNormal:  Total number of particles without periodic particles.
# NpOutPos:  Number of excluded particles due to invalid position.
# NpOutRho:  Number of excluded particles due to invalid density.
# NpOutMov:  Number of excluded particles due to invalid movement.
# DtMin [s]:  Minimum value of Dt since the previous PART.
# DtMax [s]:  Maximum value of Dt since the previous PART.
# MemCPU [MiB]:  Current CPU memory allocated (only includes the most memory intensive objects).
# MemGPU [MiB]:  Current GPU memory allocated (only includes the most memory intensive objects).
# MemGPU_Cells [MiB]:  Current GPU memory allocated for cells according to NctAlloc.
# NpAlloc:  Number of supported particles with memory allocated.
# NctAlloc:  Number of supported cells with memory allocated.
